salesperson_id,product_id,state,city,latitude,longitude,shiptonumber,customer_id,company_id,source_id,price,metric,tons,mode_id,terms,ship_start,completed
3,3,MO,MONETT,36.922,-93.926066,214528,32,34,557,145,$/st,26,2,DEL,Aug-17,no
8,3,NE,NORTH BEND,41.4619485,-96.7797515,217156,29,34,585,165,$/st,52,2,DEL,Aug-17,yes
1,2,LA,MONROE,32.8151348,-92.2056923,100477,64,34,556,150,$/st,25,2,DEL,Aug-17,yes
6,4,AL,THORSBY,32.9156796,-86.7158178,200318,254,34,561,200,$/st,25,2,FOB,Aug-17,yes
6,4,AL,COTTONWOOD,31.0487933,-85.3049326,205094,254,34,561,200,$/st,24,2,FOB,Aug-17,yes
1,3,IL,HUTSONVILLE,39.1094852,-87.6564145,203265,106,34,565,175,$/st,50,2,FOB,Aug-17,yes
2,2,CA,IMPERIAL,32.8475529,-115.5694391,210098,713,34,556,172.11,$/st,100,1,DEL,Aug-17,yes
2,2,MT,FORT BENTON,47.8183031,-110.6674365,216040,573,34,559,255,$/st,159,2,DEL,Aug-17,no
2,2,MT,MOCCASIN,47.0533007,-109.9104723,216818,573,34,559,200,$/st,96,2,FOB,Aug-17,no
9,2,TX,SAN SABA,31.1957234,-98.718098,210101,732,34,577,200,$/st,25,2,DEL,Aug-17,yes
13,2,SD,MADISON,44.0060847,-97.1139496,101329,19,34,558,195,$/st,32,2,DEL,Aug-17,no
11,2,LA,DONALDSONVILLE,30.1010323,-90.9928773,207591,1,34,556,157.38,$/st,"4,825",3,DEL,Aug-17,yes
8,1,IA,SWALEDALE,42.9785759,-93.316871,205998,407,34,572,235,$/st,60,2,FOB,Aug-17,yes
5,2,AL,BIRMINGHAM,33.5206608,-86.80249,216814,54,34,556,190,$/st,24,2,FOB,Aug-17,no
5,2,LA,DONALDSONVILLE,30.1010323,-90.9928773,205741,54,34,556,190,$/st,71,2,FOB,Aug-17,yes
9,1,TX,SUNRAY,36.0167027,-101.824616,101844,704,34,560,200,$/st,21,2,DEL,Aug-17,yes
7,2,AB,CARSELAND,50.850349,-113.465263,206423,46,34,559,336,$/st,145,2,FOB,Aug-17,yes
7,2,SK,WEYBURN,49.7,-103.8,206394,46,34,559,323,$/st,50,2,FOB,Aug-17,no
3,1,KS,ENSIGN,37.6527997,-100.2337527,206594,303,34,560,192.5,$/st,42,2,FOB,Aug-17,yes
8,1,KS,HILLSBORO,38.3519556,-97.2044723,202141,29,34,618,200,$/st,22,2,DEL,Aug-17,yes
